Coin,Price,Open,High,Low,Vol.,Change %,Date
BNB,13.73,15.67,15.91,12.15,153.96M,-12.42%,01/12/2019
BTC,"7,196.40","7,546.50","7,702.20","6,462.20",21.03M,-4.64%,01/12/2019
ETH,129.21,151.93,152.33,117.14,378.34M,-14.97%,01/12/2019
BNB,28.51,29.27,32.37,25.71,111.86M,-2.77%,01/10/2020
BNB,29.32,23.13,33.35,18.02,204.02M,26.74%,01/10/2020
BNB,23.13,20.67,23.92,19.26,115.72M,11.94%,01/10/2020
BNB,20.67,19.84,20.85,19.56,101.90M,34.18%,01/10/2020
BNB,15.4,17.1,18.19,14.85,92.99M,-9.97%,01/10/2020
BNB,17.11,17,18.16,14.03,186.16M,0.63%,01/10/2020
BNB,17,12.55,18.2,11.98,253.24M,35.48%,01/10/2020
BNB,12.55,19.28,21.76,6.5,300.11M,-34.90%,01/10/2020
BNB,19.28,18.22,27.2,18.22,212.07M,5.90%,01/10/2020
BNB,18.2,13.73,18.83,12.99,169.65M,32.57%,01/10/2020
BTC,"13,797.30","10,776.60","14,065.40","10,387.60",2.41M,28.04%,01/10/2020
BTC,"10,776.10","11,644.20","12,045.90","9,877.10",83.88M,-7.46%,01/10/2020
BTC,"11,644.20","11,333.20","12,444.10","10,730.70",15.39M,2.74%,01/10/2020
BTC,"11,333.40","10,961.10","11,434.80","10,771.80",13.21M,24.06%,01/10/2020
BTC,"9,135.40","9,454.50","10,301.80","8,865.30",15.35M,-3.38%,01/10/2020
BTC,"9,454.80","8,628.60","10,033.00","8,235.60",38.48M,9.57%,01/10/2020
BTC,"8,629.00","6,412.40","9,437.50","6,157.40",39.41M,34.56%,01/10/2020
BTC,"6,412.50","8,543.80","9,180.80","3,869.50",48.24M,-24.94%,01/10/2020
BTC,"8,543.70","9,349.30","10,482.60","8,543.70",23.76M,-8.62%,01/10/2020
BTC,"9,349.10","7,196.40","9,569.00","6,884.10",23.56M,29.91%,01/10/2020
ETH,386.42,359.5,420.12,334.11,209.52M,7.52%,01/10/2020
ETH,359.39,433.89,488.24,314.13,410.26M,-17.17%,01/10/2020
ETH,433.9,346.48,444.86,335.76,246.93M,25.22%,01/10/2020
ETH,346.51,225.61,349.34,223.53,237.53M,53.58%,01/10/2020
ETH,225.63,231.8,253.21,217.11,220.37M,-2.67%,01/10/2020
ETH,231.81,206.23,246.55,177.43,549.27M,12.41%,01/10/2020
ETH,206.22,132.88,227.05,128.93,752.88M,55.22%,01/10/2020
ETH,132.86,217.51,251.55,88.5,798.97M,-38.92%,01/10/2020
ETH,217.52,179.88,287.93,179.88,565.04M,20.91%,01/10/2020
ETH,179.91,129.21,186.76,126.05,412.79M,39.24%,01/10/2020
BNB,31.49,32.33,35.38,26.45,110.72M,10.46%,01/11/2020
BTC,"19,698.10","18,394.60","19,831.20","16,235.20",4.05M,42.77%,01/11/2020
ETH,615.92,386.36,621.7,370.96,437.16M,59.39%,01/11/2020
BNB,37.34,31.42,39.7,26.73,111.44M,18.56%,01/12/2020
BTC,"28,949.40","19,697.80","29,298.80","17,600.10",3.85M,46.97%,01/12/2020
ETH,735.94,616.78,757.11,530.88,300.29M,19.49%,01/12/2020
BNB,44.27,37.33,47.19,35.1,132.43M,18.58%,01/01/2021
BTC,"33,108.10","28,951.70","41,921.70","28,204.50",5.50M,14.37%,01/01/2021
ETH,"1,312.73",735.87,"1,474.68",715.15,79.04M,78.37%,01/01/2021
BNB,210.04,44.31,346.82,43.43,249.69M,374.42%,01/02/2021
BTC,"45,164.00","33,106.80","58,335.10","32,324.90",4.01M,36.41%,01/02/2021
ETH,"1,418.76","1,312.69","2,040.79","1,272.09",53.76M,8.08%,01/02/2021
BNB,302.18,210.04,316.44,209.51,128.93M,43.87%,01/03/2021
BTC,"58,763.70","45,160.50","61,795.80","45,008.80",3.01M,30.11%,01/03/2021
ETH,"1,917.99","1,418.91","1,945.40","1,411.55",50.74M,35.19%,01/03/2021
BNB,623.33,302.19,636.11,300.79,135.76M,106.27%,01/04/2021
BTC,"57,720.30","58,763.20","64,778.00","47,098.50",2.97M,-1.78%,01/04/2021
ETH,"2,772.78","1,918.82","2,797.61","1,897.38",61.47M,44.57%,01/04/2021
BNB,353.74,623.25,690.87,212.41,145.07M,-43.25%,01/05/2021
BTC,"37,298.60","57,719.10","59,523.90","30,261.70",5.33M,-35.38%,01/05/2021
ETH,"2,708.47","2,772.27","4,366.10","1,739.91",81.40M,-2.32%,01/05/2021
BNB,303.25,353.63,432.58,225.93,98.40M,-14.27%,01/06/2021
BTC,"35,026.90","37,294.30","41,318.00","28,901.80",4.14M,-6.09%,01/06/2021
ETH,"2,273.84","2,707.94","2,889.19","1,707.24",51.29M,-16.05%,01/06/2021
BNB,332.41,303.24,339.36,255.79,50.09M,9.62%,01/07/2021
BTC,"41,553.70","35,030.70","42,285.30","29,310.20",2.44M,18.63%,01/07/2021
ETH,"2,532.19","2,274.50","2,551.68","1,720.70",33.53M,11.36%,01/07/2021
BNB,464.29,332.32,518.58,317.7,48.83M,39.67%,01/08/2021
BTC,"47,130.40","41,510.00","50,498.80","37,365.40",2.14M,13.42%,01/08/2021
ETH,"3,430.74","2,530.94","3,467.42","2,445.49",26.43M,35.49%,01/08/2021
BNB,387.59,464.29,509.75,320.1,41.86M,-16.52%,01/09/2021
BTC,"43,823.30","47,129.20","52,885.30","39,646.80",2.21M,-7.02%,01/09/2021
ETH,"3,000.59","3,429.65","4,024.89","2,659.71",30.69M,-12.54%,01/09/2021
BNB,524.46,387.59,540.31,381.79,39.84M,35.31%,01/10/2021
BTC,"61,309.60","43,824.40","66,967.10","43,292.90",2.18M,39.90%,01/10/2021
ETH,"4,287.56","2,999.86","4,458.30","2,972.75",21.57M,42.89%,01/10/2021
BNB,622.41,524.65,668.8,511.74,16.61M,18.68%,01/11/2021
BTC,"63,984.70","61,310.10","68,990.60","59,612.70",692.40K,4.36%,01/11/2021
ETH,"4,651.65","4,287.41","4,864.06","4,157.51",6.26M,8.49%,01/11/2021