date,fngvalue,fngclassification
31/03/2020,12,Extreme Fear
30/03/2020,10,Extreme Fear
29/03/2020,12,Extreme Fear
28/03/2020,8,Extreme Fear
27/03/2020,12,Extreme Fear
26/03/2020,14,Extreme Fear
25/03/2020,13,Extreme Fear
24/03/2020,12,Extreme Fear
23/03/2020,10,Extreme Fear
22/03/2020,11,Extreme Fear
21/03/2020,9,Extreme Fear
20/03/2020,9,Extreme Fear
19/03/2020,12,Extreme Fear
18/03/2020,11,Extreme Fear
17/03/2020,8,Extreme Fear
16/03/2020,9,Extreme Fear
15/03/2020,12,Extreme Fear
14/03/2020,8,Extreme Fear
13/03/2020,10,Extreme Fear
12/03/2020,14,Extreme Fear
11/03/2020,17,Extreme Fear
10/03/2020,16,Extreme Fear
09/03/2020,17,Extreme Fear
08/03/2020,33,Fear
07/03/2020,38,Fear
06/03/2020,39,Fear
05/03/2020,41,Fear
04/03/2020,40,Fear
03/03/2020,38,Fear
02/03/2020,38,Fear
01/03/2020,39,Fear
29/02/2020,38,Fear
28/02/2020,40,Fear
27/02/2020,39,Fear
26/02/2020,41,Fear
25/02/2020,44,Fear
24/02/2020,46,Fear
23/02/2020,46,Fear
22/02/2020,43,Fear
21/02/2020,44,Fear
20/02/2020,44,Fear
19/02/2020,50,Neutral
18/02/2020,53,Neutral
17/02/2020,49,Neutral
16/02/2020,59,Greed
15/02/2020,64,Greed
14/02/2020,63,Greed
13/02/2020,65,Greed
12/02/2020,61,Greed
11/02/2020,52,Neutral
10/02/2020,57,Greed
09/02/2020,56,Greed
08/02/2020,56,Greed
07/02/2020,56,Greed
06/02/2020,61,Greed
05/02/2020,53,Neutral
04/02/2020,56,Greed
03/02/2020,59,Greed
02/02/2020,57,Greed
01/02/2020,57,Greed
31/01/2020,55,Greed
30/01/2020,57,Greed
29/01/2020,57,Greed
28/01/2020,54,Neutral
27/01/2020,50,Neutral
26/01/2020,42,Fear
25/01/2020,41,Fear
24/01/2020,40,Fear
23/01/2020,49,Neutral
22/01/2020,52,Neutral
21/01/2020,49,Neutral
20/01/2020,48,Neutral
19/01/2020,53,Neutral
18/01/2020,51,Neutral
17/01/2020,54,Neutral
16/01/2020,55,Greed
15/01/2020,54,Neutral
14/01/2020,56,Greed
13/01/2020,49,Neutral
12/01/2020,45,Fear
11/01/2020,50,Neutral
10/01/2020,41,Fear
09/01/2020,44,Fear
08/01/2020,51,Neutral
07/01/2020,40,Fear
06/01/2020,41,Fear
05/01/2020,39,Fear
04/01/2020,38,Fear
03/01/2020,38,Fear
02/01/2020,39,Fear
01/01/2020,37,Fear