date,COUNTRY_NAME,totalcases,dailycases,totaldeaths,dailydeaths,panic_index,MHI,sentiment_index,MCI
31/03/2020,Worldwide,857801,75091,42325,4503,5.3,58.16,-69.92,82.31
30/03/2020,Worldwide,782710,62344,37822,3673,9.21,69.27,-67.34,81.45
29/03/2020,Worldwide,720366,56938,34149,3258,7.86,66.2,-66.33,80.99
28/03/2020,Worldwide,663428,69662,30891,3567,5.92,59.03,-65.87,83.93
27/03/2020,Worldwide,593766,63653,27324,3222,5.42,59.51,-62.59,82.12
26/03/2020,Worldwide,530113,62124,24102,2803,6.25,59.5,-59.65,81.68
25/03/2020,Worldwide,467989,49739,21299,2586,6.63,60.07,-59.01,82.2
24/03/2020,Worldwide,418250,39299,18713,2128,6.13,58.66,-58.59,80.8
23/03/2020,Worldwide,378951,40463,16585,1903,8.05,68.87,-61.35,82.61
22/03/2020,Worldwide,338488,34669,14682,1666,9.02,66.59,-61.38,78.7
21/03/2020,Worldwide,303819,32375,13016,1669,6.9,56.92,-61.88,79.88
20/03/2020,Worldwide,271444,29570,11347,1440,6.98,55.71,-64.22,78.2
19/03/2020,Worldwide,241874,27630,9907,1138,6.49,52.98,-66.26,77.86
18/03/2020,Worldwide,214244,17643,8769,841,6.32,52.11,-65.23,76.57
17/03/2020,Worldwide,196601,15576,7928,780,6.58,50.22,-66.03,75.58
16/03/2020,Worldwide,181025,14023,7148,695,8.8,61.16,-68.7,78.98
15/03/2020,Worldwide,167002,11144,6453,630,7.68,55.88,-68.71,75.51
14/03/2020,Worldwide,155858,10885,5823,416,7.01,47.08,-68.52,66.99
13/03/2020,Worldwide,144973,16781,5407,679,6.06,41.48,-60.96,65.37
12/03/2020,Worldwide,128192,2479,4728,108,4.07,33.27,-54.37,64.62
11/03/2020,Worldwide,125713,7241,4620,354,4.26,31.24,-46.61,61.62
10/03/2020,Worldwide,118472,4799,4266,262,4.78,28.57,-38.29,60.74
09/03/2020,Worldwide,113673,3948,4004,199,5.23,29.85,-33.72,61.18
08/03/2020,Worldwide,109725,3971,3805,241,4.03,28.3,-30.93,58.12
07/03/2020,Worldwide,105754,4061,3564,103,3.38,24.68,-32.29,57.43
06/03/2020,Worldwide,101693,3802,3461,113,2.83,21.96,-37.14,57.05
05/03/2020,Worldwide,97891,2811,3348,94,2.84,22.19,-42.39,55.65
04/03/2020,Worldwide,95080,2251,3254,94,2.59,21.12,-48.56,55.2
03/03/2020,Worldwide,92829,2545,3160,74,2.69,19.7,-53.82,54.71
02/03/2020,Worldwide,90284,1939,3086,89,3,20.38,-55.2,57.26
01/03/2020,Worldwide,88345,2353,2997,55,2.86,17.23,-58.76,54.89
29/02/2020,Worldwide,85992,1886,2942,70,3.04,18.5,-57.06,53.28
28/02/2020,Worldwide,84106,1369,2872,58,2.29,15.64,-56.89,48.77
27/02/2020,Worldwide,82737,1357,2814,44,1.68,14.23,-50,46.31
26/02/2020,Worldwide,81380,982,2770,62,1.33,11.63,-49.36,43
25/02/2020,Worldwide,80398,846,2708,79,1.62,12.77,-49.33,41.51
24/02/2020,Worldwide,79552,589,2629,160,1.58,12.02,-52.26,41.22
23/02/2020,Worldwide,78963,386,2469,11,1.12,9.27,-44.11,36.84
22/02/2020,Worldwide,78577,1756,2458,207,1.21,9.96,-39.86,35.43
21/02/2020,Worldwide,76821,644,2251,4,0.72,8.7,-39.99,36.01
20/02/2020,Worldwide,76177,558,2247,125,0.63,8.77,-41.49,36.49
19/02/2020,Worldwide,75619,503,2122,115,0.72,10.43,-37.42,39.91
18/02/2020,Worldwide,75116,1878,2007,139,1.05,11.26,-32.9,39.55
17/02/2020,Worldwide,73238,2034,1868,98,1.28,10.16,-30.11,40.06
16/02/2020,Worldwide,71204,2193,1770,104,1.13,8.86,-33.29,37.67
15/02/2020,Worldwide,69011,2143,1666,143,0.8,9.11,-34.11,37.85
14/02/2020,Worldwide,66868,6517,1523,152,0.73,9.89,-27.7,39.8
13/02/2020,Worldwide,60351,15147,1371,253,0.88,9.25,-26.06,38.66
12/02/2020,Worldwide,45204,419,1118,5,0.88,8.95,-26.12,38.07
11/02/2020,Worldwide,44785,2040,1113,100,1.04,9.83,-25.48,37.24
10/02/2020,Worldwide,42745,2610,1013,107,1.69,10.38,-28.14,41.74
09/02/2020,Worldwide,40135,3030,906,100,1.81,9.45,-33.6,39.66
08/02/2020,Worldwide,37105,2725,806,87,1.33,8.83,-38.67,39.45
07/02/2020,Worldwide,34380,3574,719,85,1.19,9.31,-45.14,37.3
06/02/2020,Worldwide,30806,3182,634,70,0.93,10.44,-52.04,37.66
05/02/2020,Worldwide,27624,3742,564,72,1.27,10.5,-52.33,37.03
04/02/2020,Worldwide,23882,4009,492,66,1.74,11.12,-52.9,38.57
03/02/2020,Worldwide,19873,3094,426,64,1.48,12.33,-49.66,45.81
02/02/2020,Worldwide,16779,4749,362,103,1.49,10.41,-49.69,42.32
01/02/2020,Worldwide,12030,2113,259,46,1.48,11.27,-49.34,40.39
31/01/2020,Worldwide,9917,1690,213,42,1.34,9.85,-52.11,37.71
30/01/2020,Worldwide,8227,2069,171,38,1.22,9.82,-51.87,36.28
29/01/2020,Worldwide,6158,584,133,2,1.07,9.06,-57.24,34.2
28/01/2020,Worldwide,5574,2651,131,49,0.99,7.79,-61.96,31.94
27/01/2020,Worldwide,2923,809,82,26,1.34,8.93,-53.19,37.63
26/01/2020,Worldwide,2114,680,56,14,1.44,7.91,-46.64,31.91
25/01/2020,Worldwide,1434,493,42,16,1.06,6.21,-49.37,28.89
24/01/2020,Worldwide,941,-156,26,-8,0.79,5.36,-53.82,24.7
23/01/2020,Worldwide,1097,540,34,17,0.71,4.27,-46.36,21.91
22/01/2020,Worldwide,0,0,0,0,0.59,3.27,-50.65,19.85
21/01/2020,Worldwide,0,0,0,0,0.39,1.26,-25.7,12.96
20/01/2020,Worldwide,0,0,0,0,0.2,0.86,-27.69,13.62
19/01/2020,Worldwide,0,0,0,0,0.16,0.77,-29.21,11.44
18/01/2020,Worldwide,0,0,0,0,0.11,0.49,-25.87,9.31
17/01/2020,Worldwide,0,0,0,0,0.03,0.25,-16.48,5.99
16/01/2020,Worldwide,0,0,0,0,0.02,0.16,-14.32,4.68
15/01/2020,Worldwide,0,0,0,0,0.01,0.12,-8.56,3.3
14/01/2020,Worldwide,0,0,0,0,0.03,0.16,-8.05,4.27
13/01/2020,Worldwide,0,0,0,0,0.04,0.15,-7.93,3.1
12/01/2020,Worldwide,0,0,0,0,0.08,0.39,-7.92,8.19
11/01/2020,Worldwide,0,0,0,0,0.01,0.05,-2.82,1.88
10/01/2020,Worldwide,0,0,0,0,0.01,0.21,-5.33,6.1
09/01/2020,Worldwide,0,0,0,0,0,0.02,-2.49,0.95
08/01/2020,Worldwide,0,0,0,0,0.01,0.02,-2.4,0.66
07/01/2020,Worldwide,0,0,0,0,0,0.05,-1.92,1.59
06/01/2020,Worldwide,0,0,0,0,0,0.04,0.26,1.19
05/01/2020,Worldwide,0,0,0,0,0,0.02,0.35,0.67
04/01/2020,Worldwide,0,0,0,0,0,0.03,0.41,1.07
03/01/2020,Worldwide,0,0,0,0,0,0,0.26,0.2
02/01/2020,Worldwide,0,0,0,0,0.01,0.01,0.26,0.3
01/01/2020,Worldwide,0,0,0,0,0,0,0.35,0.09